square,price,address
400 m²,2 158 860 638 so’m,"Toshkent, Bektemir tumani - 2025-07-01"
102 m²,1 587 397 528 so’mKelishilgan,"Toshkent, Mirobod tumani - 2025-07-01"
600 m²,1 892 177 853 so’mKelishilgan,"Toshkent, Sirg‘ali tumani - 2025-07-01"
70 m²,697 184 994 so’m,"Toshkent, Yashnobod tumani - 2025-06-10"
500 m²,2 920 811 451 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - 2025-06-29"
5.60 m²,2 031 868 835 so’mKelishilgan,"Toshkent, Yashnobod tumani - 2025-06-29"
100 m²,1 549 299 987 so’m,"Toshkent, Yashnobod tumani - Bugunda 09:42"
65 m²,704 804 502 so’mKelishilgan,"Toshkent, Yashnobod tumani - Bugunda 09:42"
200 m²,2 031 868 835 so’mKelishilgan,"Toshkent, Yashnobod tumani - Bugunda 09:42"
70 m²,603 211 060 so’m,"Toshkent, Yashnobod tumani - Bugunda 09:42"
30 m²,1 400 719 578 so’m,"Toshkent, Yashnobod tumani - Bugunda 09:42"
105 m²,2 349 348 341 so’m,"Toshkent, Yashnobod tumani - Bugunda 09:41"
800 m²,2 158 860 638 so’m,Qibray - 2025-07-01
220 m²,1 206 422 121 so’m,"Toshkent, Yashnobod tumani - 2025-06-30"
300 m²,323 829 096 so’mKelishilgan,"Toshkent, Yashnobod tumani - Bugunda 09:38"
370 m²,3 797 054 886 so’m,"Toshkent, Sirg‘ali tumani - Bugunda 09:37"
200 m²,2 057 267 196 so’mKelishilgan,"Toshkent, Sirg‘ali tumani - Bugunda 09:36"
1 000 m²,2 349 348 341 so’m,Kattaqo'rg'on - Bugunda 09:34
1 m²,812 747 534 so’mKelishilgan,"Toshkent, Yashnobod tumani - Bugunda 09:33"
150 m²,3 174 795 055 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:32"
750 m²,11 429 262 199 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:32"
150 m²,761 950 813 so’mKelishilgan,Qibray - Bugunda 09:42
400 m²,5 841 622 902 so’m,"Toshkent, Mirobod tumani - Bugunda 09:30"
900 m²,736 552 453 so’m,Qo'qon - 2025-07-01
