square,price,address
200.0,1244519662,Yakkasaroy
120.0,2031868835,Yashnobod
200.0,1777885231,Yunusobod
490.0,13588122836,Mirzo-Ulug‘bek
300.0,2285852440,Olmazor
400.0,2222356539,Olmazor
400.0,2031868835,Yashnobod
320.0,5714631099,Yakkasaroy
370.0,2920811451,Yunusobod
400.0,3047803253,Yunusobod
83.0,1117527859,Yunusobod
270.0,3174795055,Yashnobod
150.0,2285852440,Yunusobod
200.0,2019169655,Olmazor
410.0,2857315550,Yunusobod
600.0,2158860638,Olmazor
250.0,977836877,Sirg‘ali
350.0,7238532726,Mirzo-Ulug‘bek
608.0,18413811320,Mirzo-Ulug‘bek
310.0,1968372934,Sirg‘ali
350.0,5079672088,Yakkasaroy
200.0,1371511464,Yunusobod
500.0,5333655693,Mirzo-Ulug‘bek
90.0,1587397528,Yashnobod
50.0,571463110,Yashnobod
100.0,1676291789,Yashnobod
710.0,1015934418,Mirzo-Ulug‘bek
200.0,1841381132,Yunusobod
160.0,1015934418,Yunusobod
400.0,3174795055,Mirzo-Ulug‘bek
110.0,1523901627,Yunusobod
450.0,3174795055,Mirzo-Ulug‘bek
69.0,1079430319,Yunusobod
429.0,2222356539,Yashnobod
500.0,10159344177,Yunusobod
350.0,3301786857,Mirzo-Ulug‘bek
300.0,3365282759,Yunusobod
200.0,4952680286,Mirzo-Ulug‘bek
150.0,1396909824,Sirg‘ali
180.0,1460405725,Sirg‘ali
120.0,1079430319,Sirg‘ali
222.0,1092129499,Bektemir
250.0,3809754066,Yunusobod
600.0,16508845393,Mirzo-Ulug‘bek
75.9,1079430319,Olmazor
670.0,7808497333,Mirzo-Ulug‘bek
500.0,7237034223,Yunusobod
700.0,13969110942,Mirzo-Ulug‘bek
30.0,444471308,Olmazor
400.0,9651376968,Yakkasaroy
648.0,20953647365,Mirzo-Ulug‘bek
800.0,22858524398,Mirzo-Ulug‘bek
282.0,3365282759,Yunusobod
290.0,1269918022,Bektemir
580.0,5155867170,Yunusobod
